query,error_type,error_subtype,emotion,feedback_target,intended_learning_outcome
SELECT * FROM Logs WHERE Employee_ID = (Employee_ID FROM Employees SELECT WHERE Division = 'IT' LIMIT 1);,syntax,incorrect SELECT usage,anger,"It's okay, let's fix this! The correct order is SELECT, then FROM, then WHERE in your subquery.",Understanding correct SQL clause order
SELECT e.Name * r.Model * l.Action_Description FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID JOIN Logs l ON e.Employee_ID = l.Employee_ID;,syntax,incorrect SELECT usage,happiness,Good job! You're close. You should use commas between all columns.,Understanding correct usage of SELECT multiple columns
"SELECT Employee_ID, Name FROM Employees UNION SELECT Robot_ID FROM Robots;",syntax,incorrect SELECT usage,neutral,"Remember, you must have same number of columns in both SELECTs.",Learning proper syntax in SELECT clause with UNION
UPDATE Robots SET Status = 'maintenance' WHERE Employee_ID IN (SELECT Employee_ID Employees WHERE Division = 'Maintenance');,syntax,incorrect SELECT usage,calmness,Your subquery is missing the keyword before the table name.,Understanding correct usage of SELECT
SELECT * * FROM Access_Codes;,syntax,incorrect SELECT usage,happiness,"Good job! Just remove the *, only one * allowed.",Understanding correct usage of SELECT
"FROM Employees e SELECT e.Name, l.Action_Description JOIN Logs l ON e.Employee_ID = l.Employee_ID;",syntax,incorrect SELECT usage,sadness,Don't worry! Just move the SELECT clause to the beginning of the query.,Understanding correct SQL clause order
FROM Robots SELECT Employee_ID WHERE Last_Software_Update > '2023-01-01';,syntax,incorrect SELECT usage,neutral,You need to move the SELECT clause to the beginning of the query.,Understanding correct SQL clause order
DELETE FROM Robots WHERE Employee_ID IN (SELECT FROM Employees WHERE Last_Login_Time < '2022-01-01');,syntax,incorrect SELECT usage,anger,It's okay! Just relax! You need to specify column in subquery SELECT.,Understanding correct usage of SELECT columns
"SELECT (Employee_ID, Description) FROM Incidents;",syntax,incorrect SELECT usage,calmness,You cannot group multiple columns inside parentheses in the SELECT list.,Understanding correct usage of SELECT multiple columns
SELECT Model AND Manufacturing_Date FROM Robots WHERE Status = 'Active';,syntax,incorrect SELECT usage,sadness,"Remember to use commas to separate columns, not the AND operator.",Understanding correct usage of SELECT multiple columns
"SELECT e.Name, (FROM Logs l SELECT COUNT(*) WHERE l.Employee_ID = e.Employee_ID) AS LogCount FROM Employees e;",syntax,incorrect SELECT usage,neutral,Put the SELECT clause before the FROM clause in this query.,Understanding correct SQL clause order
SELECT FROM Employees e INNER JOIN Robots r ON e.Employee_ID = r.Employee_ID WHERE e.Job_Role = 'Analyst';,syntax,incorrect SELECT usage,anger,"Don't worry, it's an easy fix! You need to specify column names after SELECT.",Understanding correct usage of SELECT columns
"SELECT Employee_ID emp_id, Name employee_name FROM Employees;",syntax,incorrect SELECT usage,calmness,You are missing AS keywords in the query.,Learning proper alias syntax in SELECT clause
SELECT Name CASE WHEN Job_Role = 'Manager' THEN 'Leadership' ELSE 'Staff' END AS Role_Type FROM Employees;,syntax,incorrect SELECT usage,sadness,I know it is challenging! But each column or expression in the SELECT list must be separated by commas.,Understanding correct usage of SELECT
SELECT Name SELECT Job_Role FROM Employees;,syntax,incorrect SELECT usage,neutral,Only one SELECT keyword allowed in this query.,Understanding correct usage of SELECT
"FROM Access_Codes SELECT Level_of_Access, MAX(Employee_ID) AS max_employee GROUP BY Level_of_Access ORDER BY max_employee;",syntax,incorrect SELECT usage,happiness,"Good Attempt! However, the SELECT clause should come before the FROM clause.",Understanding correct SQL clause order
"SELECT Robot_ID, Model, ROW_NUMBER() OVER (ORDER BY Manufacturing_Date) robot_rank FROM Robots;",syntax,incorrect SELECT usage,anger,Don't worry! You're close. You Just miss AS keyword.,Learning proper alias syntax in SELECT clause
"SELECT Employee_ID, Robot_ID FROM;",syntax,incorrect SELECT usage,happiness,Keep Going! You need to decide which table to select.,Understanding correct usage of SELECT tables
"SELECT e.Name AND r.Model AND COUNT(r.Robot_ID) FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID GROUP BY e.Name, r.Model;",syntax,incorrect SELECT usage,sadness,"Don't worry, it's an easy mistake! You used AND to separate columns in SELECT — use commas instead.",Understanding correct usage of SELECT multiple columns
"SELECT (SELECT Employee_ID, Name FROM Employees) FROM Robots;",syntax,incorrect SELECT usage,calmness,Your subquery in the SELECT list returns multiple columns. A scalar subquery must return exactly one column and one row.,Understanding correct usage of SELECT
"SELECT *, Division FROM Employees;",syntax,incorrect SELECT usage,anger,"It's okay, it's a common mistake! You should avoid mixing * with specific column names.",Understanding correct usage of SELECT
"SELECT Log_ID, SELECT Action_Description FROM Logs WHERE Robot_ID IN (SELECT Robot_ID FROM Robots WHERE Status = 'Active');",syntax,incorrect SELECT usage,neutral,"You're close! However, you can't have multiple SELECT statements in one query.",Understanding correct usage of SELECT
SELECT Log_ID.log_number FROM Logs;,syntax,incorrect SELECT usage,calmness,Wrong alias syntax with dot. It should be SELECT Log_ID AS log_number FROM Logs.,Learning proper alias syntax in SELECT clause
"SELECT Name, (SELECT Employee_ID, Job_Role FROM Employees WHERE Employee_ID = 1) FROM Employees;",syntax,incorrect SELECT usage,anger,It's okay! Just remember that a scalar subquery must return exactly one column in SELECT.,Understanding correct usage of SELECT
"SELECT Robot_ID, FROM Robots;",syntax,incorrect SELECT usage,happiness,Good attempt! You have a trailing comma after Robot_ID.,Understanding correct usage of SELECT
"SELECT (Employee_ID, (Name), Job_Role) FROM Employees;",syntax,incorrect SELECT usage,neutral,You cannot group multiple columns in parentheses. Use commas to separate them.,Understanding correct usage of SELECT multiple columns
"SELECT , Level_of_Access FROM Access_Codes WHERE Employee_ID < 100;",syntax,incorrect SELECT usage,calmness,You're missing a column name before the comma. Either add a column or remove the comma.,Understanding correct usage of SELECT
"FROM Employees e JOIN Access_Codes ac ON e.Employee_ID = ac.Employee_ID SELECT e.Name, ac.Level_of_Access ORDER BY e.Name, ac.Level_of_Access;",syntax,incorrect SELECT usage,anger,It's okay! Make sure to put the SELECT clause before the FROM clause.,Understanding correct SQL clause order
"SELECT ALL Employee_ID, Name FROM Employees;",syntax,incorrect SELECT usage,happiness,Good attempt! But ALL is not standard after SELECT (use DISTINCT or nothing).,Understanding correct usage of SELECT
SELECT Employee_ID COUNT(*) FROM Access_Codes GROUP BY Employee_ID;,syntax,incorrect SELECT usage,neutral,Remember to use a comma in your SELECT clause.,Understanding correct usage of SELECT
"SELECT Action_Description*, Timestamp* FROM Logs WHERE Log_ID = 6;",syntax,incorrect SELECT usage,sadness,"I see what you're trying to do! However, You cannot append * to a column name.",Understanding correct usage of SELECT multiple columns
SELECT Description * Robot_ID FROM Incidents;,syntax,incorrect SELECT usage,anger,"Don't worry, remember to use a comma , instead of * to select multiple columns.",Understanding correct usage of SELECT multiple columns
"SELECT e.Name, (r.Model, r.Status) FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID WHERE e.Division = 'IT';",syntax,incorrect SELECT usage,anger,"Stay Cool! You can't group multiple columns in parentheses like (r.Model, r.Status).",Understanding correct usage of SELECT multiple columns
SELECT Access_Codes.Level_of_Access FROM Employees;,syntax,incorrect SELECT usage,happiness,Great attempt!  But we cannot select Access_Codes columns from Employees table without JOIN.,Understanding the correct usage of SELECT
SELECT * Timestamp FROM Logs;,syntax,incorrect SELECT usage,happiness,Great attempt! Remember to use either SELECT * or SELECT Name.,Understanding the correct usage of SELECT
FROM Logs SELECT Action_Description WHERE Employee_ID = 2;,syntax,incorrect SELECT usage,happiness,"Great job exploring SQL! Remember the sequence: SELECT what you want, FROM which table, WHERE your conditions.",Understanding correct SQL clause order
"FROM Employees e JOIN Access_Codes ac ON e.Employee_ID = ac.Employee_ID SELECT e.Name, ac.Level_of_Access;",syntax,incorrect SELECT usage,happiness,Great attempt! Pay attention to the order of SELECT clause.,Understanding correct SQL clause order
SELECT Incident_ID AND Description FROM Incidents;,syntax,incorrect SELECT usage,happiness,Great job exploring SQL queries! Pay attention to the usage of selecting multiple columns in your clause.,Understanding correct usage of SELECT multiple columns
"FROM Employees e LEFT JOIN Robots r ON e.Employee_ID = r.Employee_ID LEFT JOIN Incidents i ON r.Robot_ID = i.Robot_ID SELECT e.Division, r.Status, COUNT(i.Incident_ID) GROUP BY e.Division, r.Status;",syntax,incorrect SELECT usage,sadness,"It's tough to see errors, but keep practicing! Pay attention to the order of SELECT clause.",Understanding correct SQL clause order
SELECT Division OR Name FROM Employees;,syntax,incorrect SELECT usage,neutral,Replace OR with comma.,Understanding correct usage of SELECT multiple columns
FROM Incidents SELECT Description WHERE Employee_ID != 15;,syntax,incorrect SELECT usage,sadness,"It can be discouraging, but remember to place SELECT in the correct order.",Understanding correct SQL clause order
"FROM Robots r SELECT r.Model, i.Description LEFT JOIN Incidents i ON r.Robot_ID = i.Robot_ID;",syntax,incorrect SELECT usage,sadness,"It's okay to feel confused, remember to place SELECT correctly.",Understanding correct SQL clause order
SELECT FROM Robots WHERE Status = 'Active';,syntax,incorrect SELECT usage,calmness,Missing SELECT list. Use SELECT * FROM Incidents or specify column names.,Understanding the correct usage of SELECT
SELECT Employees;,syntax,incorrect SELECT usage,neutral,Use SELECT * FROM Employees or SELECT specific_columns FROM Employees.,Understanding the correct usage of SELECT
"SELECT (), Description, Timestamp FROM Incidents;",syntax,incorrect SELECT usage,sadness,"It's challenging, but SELECT() is not valid SQL — you cannot have empty parentheses as a column expression.",Understanding the correct usage of SELECT
SELECT Employee_ID Name Division FROM Employees;,syntax,incorrect SELECT usage,happiness,Great progress! You're selecting multiple columns! Just add commas in SELECT clause.,Understanding correct usage of SELECT multiple columns
SELECT FROM Incidents;,syntax,incorrect SELECT usage,calmness,Missing SELECT list. Use SELECT * FROM Incidents or specify column names.,Understanding the correct usage of SELECT
"FROM Employees e JOIN Robots r SELECT e.Name, r.Model ON e.Employee_ID = r.Employee_ID;",syntax,incorrect SELECT usage,calmness,Pay attention to the order of your SELECT clause.,Understanding correct SQL clause order
SELECT r.Model MAX(i.Timestamp) as LastIncident FROM Robots r INNER JOIN Incidents i ON r.Robot_ID = i.Robot_ID GROUP BY r.Model;,syntax,incorrect SELECT usage,anger,"Frustration is natural, but pay attention to the usage of selecting multiple columns in your SELECT clause.",Understanding correct usage of SELECT multiple columns
SELECT Model* FROM Robots;,syntax,incorrect SELECT usage,happiness,Great attempt! Remember to use either SELECT * or SELECT Name.,Understanding the correct usage of SELECT
"FROM Logs l SELECT l.Action_Description, e.Name JOIN Employees e ON l.Employee_ID = e.Employee_ID;",syntax,incorrect SELECT usage,neutral,Let's review how SELECT should be placed in this query.,Understanding correct SQL clause order
SELECT Name AND Job_Role FROM Employees;,syntax,incorrect SELECT usage,anger,Don't worry! Use comma to separate columns in your SELECT clause.,Understanding correct usage of SELECT multiple columns
SELECT Employee_ID Level_of_Access FROM Access_Codes;,syntax,incorrect SELECT usage,happiness,Great enthusiasm! Pay attention to the usage of selecting multiple columns.,Understanding correct usage of SELECT multiple columns
SELECT Status OR Model OR Employee_ID FROM Robots;,syntax,incorrect SELECT usage,calmness,"OR is a logical operator, not a column separator.",Understanding correct usage of SELECT multiple columns
SELECT Level_of_Access; Employee_ID FROM Access_Codes;,syntax,incorrect SELECT usage,calmness,Pay attention to the usage of selecting multiple columns.,Understanding correct usage of SELECT multiple columns
"SELECT DISTINCT r.Model, , i.Description FROM Robots r RIGHT JOIN Incidents i ON r.Robot_ID = i.Robot_ID;",syntax,incorrect SELECT usage,neutral,"You have an empty column between commas (r.Model, , i.Description). Remove the extra comma or add a column name.",Understanding correct usage of SELECT multiple columns
"SELECT Log_ID, Action_Description, FROM Logs WHERE Employee_ID = 123;",syntax,incorrect SELECT usage,happiness,Good attempt! You have a trailing comma after Action_Description. Remove it.,Understanding the correct usage of SELECT
"SELECT (ac.Employee_ID, e.Name, ac.Level_of_Access) FROM Access_Codes ac INNER JOIN Employees e ON ac.Employee_ID = e.Employee_ID;",syntax,incorrect SELECT usage,neutral,You can't wrap multiple columns in parentheses like that.,Understanding correct usage of SELECT multiple columns
SELECT * FROM Employees WHERE Employee_ID LIKE '123%';,syntax,incorrect wildcard usage,sadness,"Don't worry, we've all been there! Remember, Employee_ID is numeric, so you should use specific comparisons instead of wildcards.",Understanding correct wildcard usage in SQL queries
SELECT Name FROM Employees WHERE Job_Role LIKE '*Manager*';,syntax,incorrect wildcard usage,calmness,"In SQL, we use the '%' symbol for wildcards, not '*'.",Learning proper wildcard usage in SQL
SELECT Model FROM Robots WHERE Status LIKE 'Inactive';,syntax,incorrect wildcard usage,neutral,"Remember, LIKE is used for wildcard patterns. If you're looking for an exact match, use '=' instead.",Understanding correct usage of LIKE operator
